conditions,drug,indication,type,effective,easeofuse,satisfaction
back pain,Menthol,On Label,OTC,4,5,4
back pain,Menthol,On Label,OTC,3,5,4
back pain,"Menthol, Capsaicin",On Label,OTC,4,5,5
back pain,"Menthol, Capsaicin",On Label,OTC,4,5,5
back pain,Acetaminophen,On Label,OTC,2,3,4
back pain,Menthol,On Label,OTC,4,5,4
back pain,Acetaminophen,On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,5,4,5
back pain,Acetaminophen,On Label,OTC,4,5,5
back pain,Acetaminophen,On Label,OTC,1,5,1
back pain,Acetaminophen,On Label,OTC,1,1,1
back pain,Acetaminophen,On Label,OTC,3,3,3
back pain,Menthol,On Label,OTC,4,4,5
back pain,Menthol,On Label,OTC,3,3,3
back pain,Menthol,On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,4,5,5
back pain,Capsaicin-Camphor-Menthol,On Label,OTC,5,4,5
back pain,Acetaminophen,On Label,OTC,4,4,4
back pain,Capsaicin In Castor Oil,On Label,OTC,3,3,4
back pain,Capsaicin,On Label,OTC,5,5,5
back pain,Capsaicin,On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,1,3,1
back pain,Capsaicin,On Label,OTC,1,1,1
back pain,Menthol,On Label,OTC,1,5,3
back pain,Menthol,On Label,OTC,5,5,5
back pain,Capsaicin,On Label,OTC,3,5,1
back pain,Acetaminophen,On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,4,3,5
back pain,Menthol,On Label,OTC,1,1,1
back pain,Acetaminophen,On Label,OTC,1,1,1
back pain,Acetaminophen,On Label,OTC,5,5,5
back pain,Acetaminophen,On Label,OTC,5,5,5
back pain,Menthol,On Label,OTC,1,1,1
back pain,Menthol,On Label,OTC,5,5,5
Bacterial Conjunctivitis,Moxifloxacin,On Label,RX,3.73,3.78,3.03
Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,2.83,3.21,2.52
Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,2.83,3.21,2.52
Bacterial Conjunctivitis,Gentamicin,On Label,RX,3,3.96,2.56
Bacterial Conjunctivitis,Gentamicin,On Label,RX,3,3.96,2.56
Bacterial Conjunctivitis,Moxifloxacin,On Label,RX,3.21,1.97,2.55
Bacterial Conjunctivitis,Erythromycin,Off Label,RX,3.15,2.54,2.23
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,2.93,3.29,2.71
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,2.93,3.29,2.71
Bacterial Conjunctivitis,Besifloxacin,On Label,RX,3.43,3,2.79
Bacterial Conjunctivitis,Gatifloxacin,On Label,RX,3.87,4.07,3.53
Bacterial Conjunctivitis,Gentamicin,On Label,RX,2.29,2.57,2.14
Bacterial Conjunctivitis,Gentamicin,On Label,RX,2.29,2.57,2.14
Bacterial Conjunctivitis,Ofloxacin,On Label,RX,3.2,4.4,2.8
Bacterial Conjunctivitis,Gatifloxacin,On Label,RX,4.33,4.33,3.33
Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,3.25,3.75,2.75
Bacterial Conjunctivitis,Ciprofloxacin Hcl,On Label,RX,3.25,3.75,2.75
Bacterial Conjunctivitis,Bacitracin,Off Label,RX,3.33,4.67,2
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,2,4.5,4.5
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,2,4.5,4.5
Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,3.67,3,3
Bacterial Conjunctivitis,Sulfacetamide-Prednisolone,On Label,RX,3.5,5,3.5
Bacterial Conjunctivitis,Levofloxacin,On Label,RX,3.5,4.5,3
Bacterial Conjunctivitis,Neomycin-Bacitracin-Polymyxin,Off Label,RX,1,4,1
Bacterial Conjunctivitis,Sulfacetamide-Prednisolone,On Label,RX,1,2,1
Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,5,5,5
Bacterial Conjunctivitis,Azithromycin,On Label,RX,3,4,2
Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,1,1,1
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,5,5,5
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,1,1,1
Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,1,1,1
Bacterial Conjunctivitis,Levofloxacin,On Label,RX,4,5,5
Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,4,3,3
Bacterial Conjunctivitis,Erythromycin,Off Label,RX,5,5,5
Bacterial Conjunctivitis,Ofloxacin,On Label,RX,1,4,1
Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,1,1,1
Bacterial Conjunctivitis,Neomycin-Bacitracin-Polymyxin,Off Label,RX,1,2,1
Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,1,5,1
Bacterial Conjunctivitis,Gentamicin-Prednisolone,On Label,RX,4,5,4
Bacterial Conjunctivitis,Gentamicin-Prednisolone,On Label,RX,4,5,4
Bacterial Conjunctivitis,Gatifloxacin,On Label,RX,5,2,5
Bacterial Conjunctivitis,Besifloxacin,On Label,RX,3,5,3
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,2.52,3.01,1.84
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,2.52,3.01,1.84
Bacterial Urinary Tract Infection,"Ciprofloxacin Hcl, Ciprofloxacin",On Label,RX,3.06,3.18,2.12
Bacterial Urinary Tract Infection,"Ciprofloxacin Hcl, Ciprofloxacin",On Label,RX,3.06,3.18,2.12
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3.03,2.88,2.16
Bacterial Urinary Tract Infection,Nitrofurantoin Monohyd/M-Cryst,On Label,RX,2.82,2.86,1.98
Bacterial Urinary Tract Infection,Ciprofloxacin,On Label,RX,3.59,3.78,2.75
Bacterial Urinary Tract Infection,Ciprofloxacin,On Label,RX,3.59,3.78,2.75
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3.54,3.72,3.11
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3.54,3.72,3.11
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,3.26,3.23,2.42
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,3.26,3.23,2.42
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,3.26,3.23,2.42
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,2.44,2.96,1.68
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,2.44,2.96,1.68
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,2.93,3.47,2.24
Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,2.36,3.35,1.85
Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,2.36,3.35,1.85
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,2.85,3.14,2.18
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.95,3.2,2.14
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3.19,3.25,2.28
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3.19,3.25,2.28
Bacterial Urinary Tract Infection,Nitrofurantoin,On Label,RX,2.51,2.57,1.8
Bacterial Urinary Tract Infection,Nitrofurantoin,On Label,RX,2.51,2.57,1.8
Bacterial Urinary Tract Infection,Doxycycline Calcium,On Label,RX,3.47,3.27,2.92
Bacterial Urinary Tract Infection,Minocycline,On Label,RX,3.07,3.65,2.38
Bacterial Urinary Tract Infection,Minocycline,On Label,RX,3.07,3.65,2.38
Bacterial Urinary Tract Infection,Cefuroxime Axetil,On Label,RX,3.15,3.06,2.33
Bacterial Urinary Tract Infection,Cefuroxime Axetil,On Label,RX,3.15,3.06,2.33
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3,3.72,2.62
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,2.74,3.04,2.12
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,2.74,3.04,2.12
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,2.74,3.04,2.12
Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,2.74,3.04,2.12
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3,2.83,2.38
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3,2.83,2.38
Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,2.36,3.78,1.69
Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,2.36,3.78,1.69
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3.36,3.5,2.8
Bacterial Urinary Tract Infection,Cefuroxime Axetil,On Label,RX,3.23,3.62,2.85
Bacterial Urinary Tract Infection,Cefuroxime Axetil,On Label,RX,3.23,3.62,2.85
Bacterial Urinary Tract Infection,Nitrofurantoin Monohyd/M-Cryst,On Label,RX,2.85,2.45,1.6
Bacterial Urinary Tract Infection,Nitrofurantoin Macrocrystal,On Label,RX,4.18,4.24,3.59
Bacterial Urinary Tract Infection,Fosfomycin Tromethamine,On Label,RX,4.06,4.79,4
Bacterial Urinary Tract Infection,Cefixime,On Label,RX,2.73,3.09,1.45
Bacterial Urinary Tract Infection,Cefixime,On Label,RX,2.73,3.09,1.45
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.9,3.5,1.7
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.9,3.5,1.7
Bacterial Urinary Tract Infection,Trimethoprim,On Label,RX,3.32,3.58,3
Bacterial Urinary Tract Infection,Doxycycline Monohydrate,On Label,RX,3.21,3.79,3.29
Bacterial Urinary Tract Infection,Ceftriaxone,On Label,RX,3.67,2.67,3.33
Bacterial Urinary Tract Infection,"Doxycycline Calcium, Doxycycline Hyclate, Doxycycline Monohydrate",On Label,RX,1.86,2,1.57
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,4,3.71,2.43
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3.82,3.91,3.27
Bacterial Urinary Tract Infection,Doxycycline Monohydrate,On Label,RX,4.23,3.69,3.88
Bacterial Urinary Tract Infection,Cefadroxil,On Label,RX,2.64,3.36,2.07
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3.36,2.45,2.73
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,3.29,4.43,3
Bacterial Urinary Tract Infection,Minocycline,On Label,RX,3.22,3.22,2.56
Bacterial Urinary Tract Infection,Ciprofloxacin Hcl,On Label,RX,3.57,3.43,3
Bacterial Urinary Tract Infection,Doxycycline Monohydrate,On Label,RX,3.91,4.45,4
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.5,2,1.25
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,2.14,4,1.57
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,2.14,4,1.57
Bacterial Urinary Tract Infection,Ampicillin,On Label,RX,3,3.25,3
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.75,3,2.25
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,3.33,4,2.17
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,3.33,4,2.17
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,3.33,4,2.17
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.67,2.67,2.67
Bacterial Urinary Tract Infection,Ceftriaxone,On Label,RX,5,5,5
Bacterial Urinary Tract Infection,Cefadroxil,On Label,RX,2.25,2.25,1.88
Bacterial Urinary Tract Infection,Cefazolin,On Label,RX,2.5,2.5,2.5
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,2,2.33,1.67
Bacterial Urinary Tract Infection,Ofloxacin,On Label,RX,1,2,1
Bacterial Urinary Tract Infection,Ofloxacin,On Label,RX,1,3,1
Bacterial Urinary Tract Infection,Cefixime,On Label,RX,4.5,4,4.5
Bacterial Urinary Tract Infection,Cefixime,On Label,RX,4.5,4,4.5
Bacterial Urinary Tract Infection,Cefazolin,On Label,RX,2.33,2,2.33
Bacterial Urinary Tract Infection,Nitrofurantoin,On Label,RX,5,4.67,4.67
Bacterial Urinary Tract Infection,Cefepime,On Label,RX,3,5,2.5
Bacterial Urinary Tract Infection,Minocycline,On Label,RX,4.5,4.5,3.5
Bacterial Urinary Tract Infection,Imipenem-Cilastatin,On Label,RX,5,5,5
Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,5,5,5
Bacterial Urinary Tract Infection,Cefazolin,On Label,RX,2.5,2.5,1
Bacterial Urinary Tract Infection,Amikacin,On Label,RX,1,1,1
Bacterial Urinary Tract Infection,Levofloxacin In D5W,On Label,RX,1,3,1
Bacterial Urinary Tract Infection,Sulfadiazine,On Label,RX,5,4,5
Bacterial Urinary Tract Infection,"Cefepime In Dextrose,Iso-Osm",On Label,RX,5,5,5
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,5,2,2
Bacterial Urinary Tract Infection,Ceftazidime,On Label,RX,3,3,3
Bacterial Urinary Tract Infection,Acetohydroxamic Acid,On Label,RX,2.5,4,2
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,5,4,4
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,5,4,4
Bacterial Urinary Tract Infection,Aztreonam,On Label,RX,4,3,2
Bacterial Urinary Tract Infection,Trimethoprim,On Label,RX,4.5,3,3
Bacterial Urinary Tract Infection,Demeclocycline,On Label,RX,1,1,1
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3,1,1
Bacterial Urinary Tract Infection,Levofloxacin In D5W,On Label,RX,2,4,1
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1,4,1
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1,1,1
Bacterial Urinary Tract Infection,Ceftazidime,On Label,RX,1,5,1
Bacterial Urinary Tract Infection,Streptomycin,On Label,RX,4,3,2
Bacterial Urinary Tract Infection,Fosfomycin Tromethamine,On Label,RX,5,5,5
Bacterial Urinary Tract Infection,"Ceftriaxone In Dextrose,Iso-Os",On Label,RX,5,5,5
Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,3,5,4
Bacterial Urinary Tract Infection,Trimethoprim,On Label,RX,4.5,3.5,2
Bacterial Urinary Tract Infection,Demeclocycline,On Label,RX,1,5,1
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,1,1.5,1
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2,2,2
Bacterial Urinary Tract Infection,Cefaclor,Off Label,RX,4,4,4
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1,1,1
Bacterial Urinary Tract Infection,Ampicillin Sodium,On Label,RX,5,5,5
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,2,5,1
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1,1,1
Bacterial Urinary Tract Infection,Aztreonam,On Label,RX,3,2,3
Bacterial Urinary Tract Infection,Ciprofloxacin Hcl,Off Label,RX,5,5,5
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,4,5,4
Bacterial Urinary Tract Infection,Cefazolin In Dextrose (Iso-Os),On Label,RX,1,1,1
Bacterial Urinary Tract Infection,"Ceftriaxone In Dextrose,Iso-Os",On Label,RX,5,2,5
Bacterial Urinary Tract Infection,Ampicillin Sodium,On Label,RX,1,1,1
Bacterial Urinary Tract Infection,Ampicillin,On Label,RX,3,2,1
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,5,5,5
Bacterial Urinary Tract Infection,Imipenem-Cilastatin,On Label,RX,5,3,4
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3,3,2
Bacterial Urinary Tract Infection,Cefuroxime Sodium,On Label,RX,5,5,5
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,5,5,5
Bacterial Urinary Tract Infection,Cefepime,On Label,RX,4,2,4
Bacterial Urinary Tract Infection,Ciprofloxacin Hcl,Off Label,RX,5,5,5
Bacterial Urinary Tract Infection,Cefazolin In Dextrose (Iso-Os),On Label,RX,3,5,1
Bacterial Urinary Tract Infection,Ciprofloxacin In 5 % Dextrose,On Label,RX,1,1,1
biliary calculus,Ursodiol,On Label,RX,3.95,4.45,3.82
biliary calculus,Ursodiol,Off Label,RX,4.17,4.52,4
biliary calculus,Ursodiol,On Label,RX,4.57,4.71,4.29
biliary calculus,Ursodiol,Off Label,RX,4.38,4.13,4.5
chickenpox,Valacyclovir,On Label,RX,4.29,4.6,4.15
chickenpox,Valacyclovir,On Label,RX,3.96,4.16,3.61
chickenpox,Acyclovir,On Label,RX,4.25,3.5,3.75
chickenpox,Acyclovir Sodium,On Label,RX,5,4.5,5
colorectal cancer,Fluorouracil,On Label,RX,3,1,3
depression,Amitriptyline,On Label,RX,3.53,4.29,3.15
depression,Nortriptyline,On Label,RX,3.34,4.01,3.02
depression,Amitriptyline,On Label,RX,3.36,4.15,3.02
depression,Doxepin,On Label,RX,3.71,4.52,3.4
depression,Doxepin,On Label,RX,3.71,4.52,3.4
depression,Doxepin,On Label,RX,3.71,4.52,3.4
depression,Fluvoxamine,Off Label,RX,3.61,4.12,3.35
depression,Nortriptyline,On Label,RX,3.31,3.89,3.05
depression,Imipramine Hcl,On Label,RX,3.21,3.58,3.04
depression,Phenelzine,On Label,RX,4.36,4.28,4.2
depression,Fluvoxamine,Off Label,RX,3.83,4.07,3.59
depression,Clomipramine,Off Label,RX,3.71,3.89,3.29
depression,Clomipramine,Off Label,RX,3.67,4.18,3.39
depression,Fluvoxamine,Off Label,RX,3.73,4.33,3.7
depression,Fluvoxamine,Off Label,RX,3.73,4.33,3.7
depression,Desipramine,On Label,RX,3.18,4.53,2.88
depression,Amitriptyline,On Label,RX,2.8,3.9,2.4
depression,Doxepin,On Label,RX,3.13,4,3
depression,Doxepin,On Label,RX,3.13,4,3
depression,Desipramine,On Label,RX,4,4.23,3.46
depression,Imipramine Pamoate,On Label,RX,2.82,3.55,2.82
depression,Imipramine Pamoate,On Label,RX,3.45,4.45,3
depression,Nortriptyline,On Label,RX,3,4,2.88
depression,Protriptyline,On Label,RX,3.63,4.75,3.63
depression,Protriptyline,On Label,RX,3.33,4.5,3.5
depression,Maprotiline,On Label,RX,3.2,3.4,3.2
depression,Phenelzine,On Label,RX,3,3.5,2.5
depression,Maprotiline,On Label,RX,4.5,3.25,4.25
depression,Doxepin,On Label,RX,5,5,5
depression,Amoxapine,On Label,RX,4,5,3.5
depression,Amoxapine,On Label,RX,5,5,5
depression,Amitriptyline,On Label,RX,3,4,3
diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,3.9,3.22,3.11
diverticulitis of gastrointestinal tract,"Ciprofloxacin Hcl, Ciprofloxacin",Off Label,RX,3.06,3.18,2.12
diverticulitis of gastrointestinal tract,"Ciprofloxacin Hcl, Ciprofloxacin",Off Label,RX,3.06,3.18,2.12
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3.03,2.88,2.16
diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,3.78,3.09,2.73
diverticulitis of gastrointestinal tract,Ciprofloxacin,Off Label,RX,3.59,3.78,2.75
diverticulitis of gastrointestinal tract,Ciprofloxacin,Off Label,RX,3.59,3.78,2.75
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,3.26,3.23,2.42
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,3.26,3.23,2.42
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,3.26,3.23,2.42
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.95,3.2,2.14
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3.19,3.25,2.28
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3.19,3.25,2.28
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3,3.72,2.62
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,2.74,3.04,2.12
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,2.74,3.04,2.12
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,2.74,3.04,2.12
diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,2.74,3.04,2.12
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3,2.83,2.38
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3,2.83,2.38
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.9,3.5,1.7
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.9,3.5,1.7
diverticulitis of gastrointestinal tract,Piperacillin-Tazobactam,Off Label,RX,2.75,2.63,2.75
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3.36,2.45,2.73
diverticulitis of gastrointestinal tract,Ciprofloxacin Hcl,Off Label,RX,3.57,3.43,3
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.5,2,1.25
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.75,3,2.25
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.67,2.67,2.67
diverticulitis of gastrointestinal tract,Meropenem,Off Label,RX,5,3,4
diverticulitis of gastrointestinal tract,Tigecycline,On Label,RX,3,2.33,2.67
diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,3,4,2
diverticulitis of gastrointestinal tract,Clindamycin Phosphate,Off Label,RX,4.5,4,4
diverticulitis of gastrointestinal tract,Amikacin,On Label,RX,1,1,1
diverticulitis of gastrointestinal tract,Ampicillin-Sulbactam,Off Label,RX,5,5,5
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,5,4,4
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,5,4,4
diverticulitis of gastrointestinal tract,Clindamycin In 5 % Dextrose,Off Label,RX,3,5,3
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,1,4,1
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,1,1,1
diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,3,3,3
diverticulitis of gastrointestinal tract,Clindamycin Phosphate,Off Label,RX,2,3,1
diverticulitis of gastrointestinal tract,Ampicillin-Sulbactam,Off Label,RX,1,5,1
diverticulitis of gastrointestinal tract,Metronidazole In Nacl (Iso-Os),Off Label,RX,1,1,1
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,1,1,1
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2,2,2
diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,1,1,1
diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,5,3,4
diverticulitis of gastrointestinal tract,Ciprofloxacin In 5 % Dextrose,Off Label,RX,1,1,1
edema,Hydrochlorothiazide,On Label,RX,3.3,3.96,2.77
edema,Spironolactone,On Label,RX,3.88,4.36,3.5
edema,Furosemide,On Label,RX,3.05,4.16,2.97
edema,Furosemide,On Label,RX,3.05,4.16,2.97
edema,Furosemide,On Label,RX,3.21,4.01,2.99
edema,Furosemide,On Label,RX,3.21,4.01,2.99
edema,Triamterene-Hydrochlorothiazid,On Label,RX,3.88,4.24,3.45
edema,Acetazolamide,On Label,RX,3.52,3.41,2.97
edema,Acetazolamide,On Label,RX,3.69,3.27,2.81
edema,Spironolactone,On Label,RX,3.95,4.4,3.25
edema,Triamterene-Hydrochlorothiazid,On Label,RX,3.83,4.46,3.31
edema,Chlorthalidone,On Label,RX,3.02,3.9,2.25
edema,Torsemide,On Label,RX,3.85,4.1,3.1
edema,Triamterene-Hydrochlorothiazid,On Label,RX,3.46,4.21,3.18
edema,Bumetanide,On Label,RX,3.78,4.17,3.61
edema,Hydrochlorothiazide,On Label,RX,4.12,4.41,3.94
edema,Bumetanide,On Label,RX,4,4.5,3.63
edema,Spironolacton-Hydrochlorothiaz,On Label,RX,3.27,3.67,3
edema,Torsemide,On Label,RX,3.17,3,2.67
edema,Ethacrynic Acid,On Label,RX,4.33,4,3
edema,Spironolacton-Hydrochlorothiaz,On Label,RX,4.17,3.83,2.67
edema,Triamterene,On Label,RX,3.33,4,1.67
edema,Amiloride-Hydrochlorothiazide,On Label,RX,2.33,2.33,2
edema,Amiloride-Hydrochlorothiazide,On Label,RX,2.67,3,2.33
edema,Indapamide,On Label,RX,3.8,4.6,3.4
edema,Hydrochlorothiazide,On Label,RX,3.33,3.67,3
edema,Chlorothiazide,On Label,RX,3,5,3
edema,Furosemide,On Label,RX,2,5,1
edema,Triamterene-Hydrochlorothiazid,On Label,RX,3,5,3
edema,Chlorthalidone,On Label,RX,1,5,1
edema,Hydrochlorothiazide,On Label,RX,3,5,2
edema,Hydrochlorothiazide,On Label,RX,3,4,2
edema,"Triamterene-Hydrochlorothiazid, Trichlormethiazide",On Label,RX,2,1,1
edema,Triamterene-Hydrochlorothiazid,On Label,RX,2,1,1
edema,Spironolacton-Hydrochlorothiaz,On Label,RX,1,4,1
edema,Hydrochlorothiazide,On Label,RX,5,5,5
edema,Furosemide,On Label,RX,2,2,2
edema,Hydrochlorothiazide,On Label,RX,1,1,1
edema,Bumetanide,On Label,RX,1,2,1
edema,Hydrochlorothiazide,On Label,RX,5,5,4
edema,Chlorthalidone,On Label,RX,4,4,4
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.2,4.2,2.8
endometriosis,Medroxyprogesterone,Off Label,RX,4.36,4.22,2.5
endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,4.07,4.44,2.64
endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,3.69,4.13,2.58
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.06,4.06,2.33
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.14,4.26,2.79
endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3.87,3.96,1.83
endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.02,4.24,2.69
endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,4.11,4.16,2.32
endometriosis,Medroxyprogesterone,Off Label,RX,4.1,4,2.41
endometriosis,Medroxyprogesterone,Off Label,RX,4.1,4,2.41
endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.1,4.46,2.85
endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,3.83,4.04,2.52
